Rank,Artist,Title,Streams,Date
33,Sia,Cheap Thrills,"1,167,833",2017-01-03
34,Jonas Blue,By Your Side,"1,154,877",2017-01-03
35,Zara Larsson,I Would Like,"1,126,983",2017-01-03
36,Nevada,The Mack,"1,122,559",2017-01-03
37,Alan Walker,Alone,"1,122,212",2017-01-03
38,CNCO,Reggaetón Lento (Bailemos),"1,116,627",2017-01-03
39,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),"1,108,074",2017-01-03
40,Robin Schulz,Shed a Light,"1,098,430",2017-01-03
41,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,"1,062,554",2017-01-03
42,Alok,Hear Me Now,"1,060,502",2017-01-03
43,J Balvin,Safari,"1,000,058",2017-01-03
44,DRAM,Broccoli (feat. Lil Yachty),"993,906",2017-01-03
45,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),"960,816",2017-01-03
46,Calvin Harris,This Is What You Came For,"958,726",2017-01-03
47,Aminé,Caroline,"951,699",2017-01-03
48,Alessia Cara,"How Far I'll Go - From ""Moana""","908,300",2017-01-03
49,Ricky Martin,Vente Pa' Ca,"907,340",2017-01-03
50,Zion & Lennox,Otra vez (feat. J Balvin),"878,999",2017-01-03
51,NEIKED,Sexual,"872,522",2017-01-03
52,Jonas Blue,Perfect Strangers,"856,922",2017-01-03
53,The Weeknd,Party Monster,"835,349",2017-01-03
54,Rihanna,Work,"833,943",2017-01-03
55,Twenty One Pilots,Ride,"827,613",2017-01-03
56,Sia,The Greatest,"820,237",2017-01-03
57,Big Sean,Bounce Back,"819,777",2017-01-03
58,Martin Jensen,Solo Dance,"798,473",2017-01-03
59,Rag'n'Bone Man,Human,"798,070",2017-01-03
60,J. Cole,Deja Vu,"784,321",2017-01-03
61,Justin Bieber,Love Yourself,"761,537",2017-01-03
62,gnash,"i hate u, i love u (feat. olivia o'brien)","761,285",2017-01-03
63,Twenty One Pilots,Stressed Out,"756,633",2017-01-03
64,Noah Cyrus,Make Me (Cry),"753,419",2017-01-03
65,Drake,Too Good,"752,654",2017-01-03
66,Justin Bieber,Sorry,"750,214",2017-01-03
67,Alan Walker,Faded,"747,495",2017-01-03
68,Desiigner,Panda,"732,996",2017-01-03
69,Adele,Water Under the Bridge,"716,256",2017-01-03
70,Luke Christopher,Lot to Learn,"710,380",2017-01-03
71,Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","688,244",2017-01-03
72,Drake,Controlla,"670,611",2017-01-03
73,The Chainsmokers,Setting Fires,"670,041",2017-01-03
74,Mike Perry,The Ocean (feat. Shy Martin),"665,056",2017-01-03
75,MC G15,Deu Onda,"664,898",2017-01-03
76,Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),"661,546",2017-01-03
77,Little Mix,Shout Out to My Ex,"658,647",2017-01-03
78,Coldplay,Hymn for the Weekend - Seeb Remix,"657,727",2017-01-03
79,DNCE,Cake By The Ocean,"650,401",2017-01-03
80,Petit Biscuit,Sunset Lover,"640,308",2017-01-03
81,Carlos Vives,La Bicicleta,"634,047",2017-01-03
82,Sebastian Yatra,Traicionera,"630,107",2017-01-03
83,Ariana Grande,Into You,"629,672",2017-01-03
84,Rob $tone,Chill Bill,"625,663",2017-01-03
85,Sia,The Greatest,"624,440",2017-01-03
86,Lukas Graham,7 Years,"622,987",2017-01-03
87,21 Savage,X (feat. Future),"621,787",2017-01-03
88,Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,"619,993",2017-01-03
89,Rihanna,Needed Me,"607,641",2017-01-03
90,Zay Hilfigerrr,Juju On That Beat (TZ Anthem),"602,074",2017-01-03
91,Ed Sheeran,Photograph,"595,989",2017-01-03
92,Jon Bellion,All Time Low,"587,502",2017-01-03
93,FRENSHIP,Capsize,"583,636",2017-01-03
94,Bruno Mars,Versace on the Floor,"574,420",2017-01-03
95,Vice,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),"572,652",2017-01-03
96,Adele,Send My Love (To Your New Lover),"571,475",2017-01-03
97,Drake,Sneakin’,"566,090",2017-01-03
98,Andy Grammer,Fresh Eyes,"565,662",2017-01-03
99,DJ Snake,Middle,"561,884",2017-01-03
100,Bebe Rexha,I Got You,"561,031",2017-01-03
101,Niall Horan,This Town,"559,637",2017-01-03
102,The Weeknd,Sidewalks,"558,947",2017-01-03
103,Daddy Yankee,Shaky Shaky,"556,574",2017-01-03
104,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,"553,389",2017-01-03
105,Hearts & Colors,Lighthouse - Andrelli Remix,"550,199",2017-01-03
106,Jonas Blue,Fast Car,"550,074",2017-01-03
107,Enrique Iglesias,DUELE EL CORAZON,"543,868",2017-01-03
108,G-Eazy,"Me, Myself & I","538,372",2017-01-03
109,Ed Sheeran,Thinking out Loud,"536,343",2017-01-03
110,Calum Scott,Dancing On My Own,"532,788",2017-01-03
111,21 Savage,No Heart,"529,425",2017-01-03
112,MØ,Final Song,"525,029",2017-01-03
113,The Weeknd,Six Feet Under,"519,587",2017-01-03
114,Ozuna,Dile Que Tu Me Quieres,"516,691",2017-01-03
115,Cheat Codes,Sex,"513,533",2017-01-03
116,AJR,Weak,"511,537",2017-01-03
117,Major Lazer,Lean On (feat. MØ & DJ Snake),"509,567",2017-01-03
118,Galantis,Love on Me,"508,791",2017-01-03
119,Young M.A,OOOUUU,"508,480",2017-01-03
120,IAmChino,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","503,937",2017-01-03
121,Childish Gambino,Redbone,"503,581",2017-01-03
122,Nause,Dynamite (feat. Pretty Sister),"494,862",2017-01-03
123,Adele,Hello,"486,853",2017-01-03
124,Shawn Mendes,Stitches,"480,970",2017-01-03
125,ZAYN,PILLOWTALK,"480,762",2017-01-03
126,The Chainsmokers,Roses,"470,906",2017-01-03
127,Zara Larsson,Lush Life,"470,838",2017-01-03
128,G-Eazy,Some Kind Of Drug,"469,973",2017-01-03
129,Zara Larsson,Ain't My Fault,"467,327",2017-01-03
130,Flume,Never Be Like You,"464,598",2017-01-03
131,Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),"462,404",2017-01-03
132,Young Thug,pick up the phone,"457,155",2017-01-03
133,Justin Bieber,What Do You Mean?,"453,623",2017-01-03
134,Lil Uzi Vert,You Was Right,"452,619",2017-01-03
135,KYLE,iSpy (feat. Lil Yachty),"451,890",2017-01-03
136,J. Cole,Neighbors,"450,275",2017-01-03
137,Maluma,Borro Cassette,"445,866",2017-01-03
138,State of Sound,Wake Up Where You Are,"445,598",2017-01-03
139,Rihanna,Love On The Brain,"444,847",2017-01-03
140,Chino & Nacho,Andas En Mi Cabeza,"442,339",2017-01-03
141,Sean Paul,No Lie,"441,006",2017-01-03
142,James Hersey,Miss You,"440,223",2017-01-03
143,Piso 21,Me Llamas (feat. Maluma) - Remix,"437,581",2017-01-03
144,Wisin,Vacaciones,"435,983",2017-01-03
145,San Holo,Light,"432,115",2017-01-03
146,The Weeknd,Reminder,"430,758",2017-01-03
147,Galantis,No Money,"423,143",2017-01-03
148,James Bay,Let It Go,"420,478",2017-01-03
149,Drake,Hotline Bling,"417,138",2017-01-03
150,KREAM,Taped up Heart (feat. Clara Mae),"413,566",2017-01-03
151,Drake,Jumpman,"412,700",2017-01-03
152,Dante Klein,Let Me Hold You (Turn Me On),"410,839",2017-01-03
153,The Weeknd,Rockin’,"406,995",2017-01-03
154,The Weeknd,The Hills,"405,112",2017-01-03
155,Little Mix,Touch,"404,835",2017-01-03
156,MiC LOWRY,Oh Lord,"403,667",2017-01-03
157,Joel Adams,Please Don't Go,"403,224",2017-01-03
158,Bruno Mars,That's What I Like,"401,377",2017-01-03
159,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack","396,431",2017-01-03
160,Rae Sremmurd,Swang,"396,407",2017-01-03
161,J. Cole,Immortal,"395,293",2017-01-03
162,Tove Lo,Cool Girl,"392,866",2017-01-03
163,JP Cooper,September Song,"392,761",2017-01-03
164,Kiiara,Gold,"391,927",2017-01-03
165,The Weeknd,Die For You,"391,621",2017-01-03
166,Coldplay,Hymn for the Weekend,"389,306",2017-01-03
167,Maluma,Cuatro Babys,"388,949",2017-01-03
168,DVBBS,Not Going Home,"386,039",2017-01-03
169,Anne-Marie,Alarm,"385,314",2017-01-03
170,Marc E. Bassy,You & Me,"385,310",2017-01-03
171,Future,Low Life,"382,326",2017-01-03
172,J. Cole,No Role Modelz,"379,293",2017-01-03
173,Charly Black,Gyal You A Party Animal - Remix,"378,965",2017-01-03
174,David Guetta,Would I Lie to You - Radio Edit,"373,378",2017-01-03
175,Lady Gaga,Million Reasons,"372,515",2017-01-03
176,The Weeknd,Can't Feel My Face,"369,748",2017-01-03
177,The Weeknd,Secrets,"363,207",2017-01-03
178,John Legend,All of Me,"353,955",2017-01-03
179,Milky Chance,Cocoon,"352,419",2017-01-03
180,The Weeknd,True Colors,"351,868",2017-01-03
181,Passenger,Let Her Go,"349,450",2017-01-03
182,Sam Smith,Stay With Me,"348,449",2017-01-03
183,Adele,When We Were Young,"347,678",2017-01-03
184,Mura Masa,Love$ick (feat. A$AP Rocky),"347,540",2017-01-03
185,Flume,Say It (feat. Tove Lo),"347,124",2017-01-03
186,Coldplay,The Scientist,"346,351",2017-01-03
187,Coldplay,Adventure of a Lifetime,"346,139",2017-01-03
188,Post Malone,White Iverson,"343,936",2017-01-03
189,Farruko,Chillax (feat. Ky-Mani Marley),"343,803",2017-01-03
190,Future,Used to This,"340,091",2017-01-03
191,Eminem,'Till I Collapse,"338,505",2017-01-03
192,Nicky Jam,Hasta el Amanecer,"337,746",2017-01-03
193,Robin Schulz,Sugar (feat. Francesco Yates),"337,421",2017-01-03
194,Flo Rida,My House,"336,015",2017-01-03
195,Mark Ronson,Uptown Funk,"335,565",2017-01-03
196,Maroon 5,Sugar,"335,115",2017-01-03
197,Selena Gomez,Kill Em With Kindness,"333,694",2017-01-03
198,The Killers,Mr. Brightside,"333,579",2017-01-03
199,Bryson Tiller,Don't,"331,803",2017-01-03
