175,176,David Guetta,Would I Lie to You - Radio Edit,"359,074"
176,177,Joel Adams,Please Don't Go,"357,531"
177,178,The Weeknd,Rockin’,"357,162"
178,179,Robin Schulz,Sugar (feat. Francesco Yates),"355,613"
179,180,Coldplay,Hymn for the Weekend,"352,612"
180,181,Anne-Marie,Alarm,"351,130"
181,182,Marc E. Bassy,You & Me,"350,746"
182,183,Sean Paul,No Lie,"350,700"
183,184,J Balvin,Bobo,"350,414"
184,185,Kygo,Stay (feat. Maty Noyes),"347,597"
185,186,Future,Used to This,"344,032"
186,187,Skrillex,Purple Lamborghini (with Rick Ross),"343,807"
187,188,Tove Lo,Cool Girl,"343,803"
188,189,James Hersey,Miss You,"342,000"
189,190,The Weeknd,Die For You,"341,736"
190,191,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack","341,046"
191,192,M.I.A.,Paper Planes,"341,003"
192,193,James Bay,Let It Go,"340,299"
193,194,Kanye West,Famous,"336,134"
194,195,KREAM,Taped up Heart (feat. Clara Mae),"333,469"
195,196,Post Malone,White Iverson,"332,756"
196,197,MiC LOWRY,Oh Lord,"331,792"
197,198,Stevie Wonder,Superstition - Single Version,"331,376"
198,199,The Weeknd,Secrets,"331,233"
199,200,JAY Z,Ni**as In Paris,"325,951"
0,1,The Weeknd,Starboy,"3,342,769"
1,2,The Chainsmokers,Closer,"3,019,058"
2,3,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"2,726,981"
3,4,DJ Snake,Let Me Love You,"2,524,666"
4,5,Maroon 5,Don't Wanna Know,"2,362,830"
5,6,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","2,329,762"
6,7,James Arthur,Say You Won't Let Go,"2,263,324"
7,8,Drake,Fake Love,"2,241,455"
8,9,Bruno Mars,24K Magic,"2,152,569"
9,10,The Weeknd,I Feel It Coming,"2,135,229"
10,11,Rae Sremmurd,Black Beatles,"2,114,909"
11,12,Drake,One Dance,"1,989,817"
12,13,Shakira,Chantaje (feat. Maluma),"1,866,507"
13,14,Major Lazer,Cold Water (feat. Justin Bieber & MØ),"1,830,616"
14,15,Starley,Call On Me - Ryan Riback Extended Remix,"1,810,528"
15,16,Martin Garrix,In the Name of Love,"1,808,723"
16,17,Migos,Bad and Boujee (feat. Lil Uzi Vert),"1,676,078"
17,18,Ariana Grande,Side To Side,"1,645,732"
18,19,Steve Aoki,Just Hold On,"1,638,543"
19,20,Hailee Steinfeld,Starving,"1,547,351"
20,21,Shawn Mendes,Mercy,"1,530,922"
21,22,Machine Gun Kelly,Bad Things (with Camila Cabello),"1,478,772"
22,23,The Chainsmokers,All We Know,"1,438,481"
23,24,Calvin Harris,My Way,"1,427,123"
